objID,ra,dec,z,r,expRad_r,expAB_r,deVRad_r,deVAB_r
587727226770620473,15.58593227,-9.43395779,0.234548,17.854074,0.990824,0.73845,1.642211,0.760564
587727227304739121,9.18982752,-9.33246646,1.06876,17.261118,8.21517,0.873171,23.827076,0.882279
587727227307753651,16.25129721,-9.01617889,0.054129,17.180229,8.278005,0.139634,22.80468,0.112607
587727227840233561,6.08768068,-8.94134328,0.076569,17.52602,4.637043,0.259191,12.077761,0.227883
587727227840364690,6.42982019,-8.80741324,0.320003,18.016367,1.298794,0.819593,2.776147,0.822245
587727227840823448,7.45107517,-8.82169624,0.134599,17.702753,3.52475,0.72645,9.005609,0.704717
587727227841282182,8.491256,-8.89889784,0.138079,17.82354,1.19913,0.811738,2.047894,0.821973
587727227841413224,8.73441864,-8.80583379,0.320231,18.297892,1.035966,0.712954,1.964561,0.682676
587727227841544403,9.1498563,-8.73859743,0.344531,17.868616,1.576108,0.960116,3.723094,0.963496
587727227841675419,9.42262477,-8.82911298,0.164708,17.729027,3.087422,0.469516,6.374341,0.448107
587727227841806429,9.71783581,-8.84018897,0.150937,17.295296,2.469267,0.579699,5.93779,0.537013
587727227843182841,12.83505474,-8.67649719,0.015164,17.193445,8.465573,0.627751,27.192249,0.649948
587727227843248538,13.03139327,-8.71016658,0.474223,19.366777,1.207681,0.818033,2.037614,0.799949
587727227844427914,15.69674464,-8.62166161,0.157538,17.826031,2.516801,0.654087,6.355593,0.60006
587730774428156044,5.91373613,15.06739841,0.017617,17.454971,6.935539,0.904428,22.421173,0.949871
587731185673240716,14.11017304,-0.59897572,0.09964,17.593424,4.468385,0.349905,10.910459,0.309006
587731186206310736,5.42563995,-0.20317021,-1.40261E-4,20.231619,2.849169,0.3,5.489497,0.207933
587731186207162870,7.39584926,-0.1861548,0.252149,19.343277,1.979914,0.248912,3.297449,0.179711
587731186209259718,12.21886826,-0.17775028,0.392242,18.765022,1.235547,0.836492,2.025037,0.727474
587731186743509197,6.23067233,0.31761886,0.450658,19.137848,1.539947,0.768999,2.90491,0.768222
587731186743705719,6.66450383,0.29669187,0.156047,17.510296,1.831901,0.524792,2.990211,0.496367
587731186744164475,7.7404781,0.3676021,0.06837,16.253542,3.231071,0.958336,6.899675,0.953967
587731186745737461,11.36257299,0.31857036,0.357925,18.518141,1.390623,0.677438,2.981692,0.620429
587731186745933936,11.7672624,0.31270077,0.070484,17.389114,3.962612,0.567894,10.568124,0.54882
587731187283460324,13.21132284,0.65819829,0.424286,19.107409,1.180164,0.534111,1.915426,0.518466
587731187817250896,6.15515706,1.05531432,0.073125,16.662144,4.67556,0.75611,13.378785,0.749948
587731187817906345,7.75108813,1.24396302,0.078654,16.280748,3.769667,0.898956,8.172839,0.924795
587731187818233974,8.52206268,1.23458858,0.185931,17.241262,3.023608,0.999823,6.809579,0.946721
587731187819020421,10.34154475,1.15286685,0.044092,17.487556,2.769433,0.868597,7.604525,0.812489
587731187819479205,11.32316603,1.15811679,0.391686,18.140963,1.558351,0.761101,2.886738,0.750004
587731187819675751,11.80195603,1.06398554,0.137161,17.121117,3.589836,0.674587,9.083762,0.638274
588015507661127747,5.36758614,-1.21168582,0.106722,16.909672,3.963322,0.22029,7.940274,0.174497
588015507661389843,5.99738052,-1.05206609,0.139154,18.962477,53.708363,0.200003,29.674589,0.997106
588015507663814813,11.53817415,-1.16039141,0.382736,17.389,1.854323,0.712014,3.56412,0.696761
588015507664339220,12.74155998,-1.2089053,0.340919,18.981792,1.242249,0.694611,2.199026,0.708769
588015508198129775,5.68795895,-0.70199593,0.163169,17.262486,3.058698,0.78086,6.729291,0.769009
588015508200095886,10.2143803,-0.74881746,0.340114,18.044933,2.258438,0.818467,4.240673,0.826145
588015508735918371,7.8937234,-0.24452667,0.353852,19.183243,0.848418,0.690054,1.340567,0.613414
588015508737360111,11.16201908,-0.36226008,0.018867,16.865755,8.787214,0.392252,29.673693,0.349649
588015508737753291,12.08158595,-0.37704156,0.299701,17.762367,2.518571,0.559616,4.893811,0.533526
588015508738343056,13.33018759,-0.29176419,0.428397,18.785082,1.235032,0.83374,2.274719,0.834745
588015508738670805,14.15785984,-0.24377196,0.276026,17.764723,2.022321,0.362748,3.497175,0.301757
588015508739326070,15.54938673,-0.34033806,0.297497,18.048771,1.249164,0.870486,2.305297,0.850828
588015509271871631,5.68637675,0.05204525,0.238529,17.232841,1.940067,0.675149,3.44236,0.665908
588015509272002671,5.97947283,0.05102216,0.056443,17.08507,6.163207,0.151551,13.712284,0.12242
588015509272133791,6.31140264,0.0137287,0.372445,18.301899,0.989996,0.873768,1.650006,0.873661
588015509274099908,10.88402382,0.17325531,0.108767,17.046675,2.514107,0.489855,4.443609,0.455712
588015509274165388,11.0303355,0.12136834,0.218675,17.553488,1.849716,0.439232,3.224153,0.408126
588015509274165442,10.9476418,0.05961951,0.213362,16.946287,3.922328,0.950671,9.891343,0.9494
588015509275541728,14.17997548,0.11863058,0.071372,16.518427,4.832036,0.609282,12.402036,0.599987
588015509275607196,14.3298657,0.01112716,0.184242,17.352468,2.286666,0.851306,4.875486,0.815055
588015509276459092,16.23425539,0.02443932,0.049156,17.068205,7.748697,0.268053,21.73522,0.249937
588015509808545952,5.35170554,0.54708999,0.083981,17.336765,3.207314,0.869392,7.78282,0.817892
588015509809660111,7.77876101,0.44456057,0.469787,18.956236,2.006635,0.716865,4.827071,0.694538
588015509811364014,11.73159007,0.50236294,0.319942,18.491734,1.211277,0.723889,1.941771,0.690049
588015509811495058,12.0785136,0.60695867,0.133821,17.012186,4.007694,0.499675,9.128768,0.463775
588015509812347122,13.93729252,0.58823727,0.017993,17.697012,6.809385,0.429485,23.399405,0.365737
588015510345482380,5.37217522,0.90971343,0.370005,18.559114,0.986418,0.767557,1.537855,0.75314
588015510345744463,5.99478376,0.92860969,0.372615,18.807804,1.238426,0.740564,2.201111,0.725478
588015510345810074,6.10212456,0.94409477,0.431432,18.850973,1.014721,0.910835,1.980257,0.857257
588015510346727781,8.24043229,0.92743261,0.384879,18.839771,1.563786,0.732823,3.149305,0.69938
588015510346858713,8.53292594,0.86558982,0.317509,18.062838,1.567406,0.741482,3.088483,0.716138
588015510347448534,9.93057814,0.96064002,0.01398,17.225758,5.661289,0.304567,17.317762,0.249939
588015510347776206,10.60629459,0.86422308,0.166792,17.531866,2.916621,0.821898,6.374522,0.817163
588290880566198454,6.40900232,14.83014895,0.234349,17.89143,3.761988,0.559614,9.176931,0.551857
588290881102676241,5.49524515,15.25105858,0.312156,17.804029,1.902399,0.740436,3.608254,0.799109
588290881102938333,6.18011618,15.33156914,0.141898,17.912058,4.453444,0.169856,9.594878,0.143158
588290881639874778,6.22948516,15.69192939,0.185198,17.902729,3.076307,0.395067,7.078603,0.364512
587724197206949931,21.96505851,13.28325126,0.030622,17.39052,6.97073,0.198154,19.118784,0.171906
587724197208522855,25.68823323,13.01221457,0.153643,17.408909,2.620217,0.77764,5.12466,0.759779
587724197208588538,25.84978919,12.94382687,0.462193,19.044146,1.028121,0.770411,1.451309,0.741078
587724197742641499,19.27593775,13.846158,0.048026,17.17654,4.843122,0.923696,15.348365,0.902297
587724197746966578,29.42226835,12.90000279,0.553092,19.826998,1.206193,0.708522,1.889313,0.700011
587724198815596787,17.51046704,14.83790048,0.356807,18.655424,1.480488,0.581802,2.739871,0.561099
587724198815858873,18.01061364,14.81005822,0.271399,18.033482,1.31634,0.758041,2.694718,0.69591
587724198822084832,32.74290654,13.50981282,0.155625,17.566236,3.908067,0.29785,9.889425,0.244922
587724199352729726,18.11110823,15.22396365,0.391998,18.652674,1.770689,0.763842,3.29792,0.722332
587724199356072150,25.94029019,14.47831664,0.328978,18.080551,1.488482,0.907591,2.513752,0.900058
587724199890911465,21.16946124,15.35005338,0.426113,18.938992,1.24169,0.815273,2.020124,0.808506
587724199892353238,24.70042217,15.08038768,0.31928,18.330631,1.48442,0.866342,2.568454,0.916109
587724199893139629,26.41938893,15.02505718,0.201577,18.099123,2.448959,0.532319,4.851974,0.481828
587724199894843597,30.41774259,14.59071793,0.366659,17.9823,2.493869,0.743607,5.879309,0.714933
587724199896088807,33.41376644,14.19079444,0.339551,18.752659,1.227757,0.874245,2.240982,0.872119
