id HubbleType isElliptical
70319 - Elliptical
70331 - Elliptical
70378 Sab-Scd NotElliptical
70403 S0-Sa NotElliptical
70408 Sd-Irr NotElliptical
70486 - Elliptical
70491 - Elliptical
70522 Sd-Irr NotElliptical
70532 S0-Sa NotElliptical
70612 - Elliptical
70636 - Elliptical
70640 - Elliptical
70670 - Elliptical
70672 - Elliptical
70698 - LBS
70719 LBS NotElliptical
70777 Sab-Scd NotElliptical
70801 - Elliptical
70802 - Elliptical
70808 E Elliptical
70818 - Elliptical
70846 - Elliptical
70856 Sd-Irr NotElliptical
70903 E Elliptical
70913 LBS LBS
70931 - Elliptical
71010 LBS NotElliptical
71028 - Elliptical
71033 - Elliptical
71034 - Elliptical
71063 - Elliptical
71099 LBS LBS
71100 - LBS
71117 Sd-Irr NotElliptical
71119 - Elliptical
71146 Sab-Scd NotElliptical
71178 - Elliptical
71196 - Elliptical
71269 Sd-Irr NotElliptical
71310 - Elliptical
71380 Sd-Irr NotElliptical
71382 Sab-Scd NotElliptical
71580 - Elliptical
77064 E Elliptical
77093 Sab-Scd NotElliptical
77108 Sd-Irr NotElliptical
77123 LBS LBS
77144 Sd-Irr NotElliptical
77153 Sd-Irr NotElliptical
77170 Sd-Irr NotElliptical
77175 LBS LBS
77192 LBS LBS
77193 Sab-Scd NotElliptical
77210 LBS NotElliptical
77215 Sab-Scd NotElliptical
77219 - Elliptical
77226 S0-Sa NotElliptical
77227 S0-Sa NotElliptical
77238 E Elliptical
77239 Sd-Irr NotElliptical
77261 Sd-Irr NotElliptical
77265 Sd-Irr NotElliptical
77273 Sd-Irr NotElliptical
77304 Sab-Scd NotElliptical
77324 Sd-Irr NotElliptical
77345 E Elliptical
77346 LBS NotElliptical
77373 Sd-Irr NotElliptical
77377 Sd-Irr NotElliptical
77389 Sd-Irr NotElliptical
77403 Sab-Scd NotElliptical
77428 Sd-Irr NotElliptical
77445 Sd-Irr NotElliptical
77452 Sab-Scd NotElliptical
77467 Sd-Irr NotElliptical
77528 Sd-Irr NotElliptical
77610 E Elliptical
77615 Sd-Irr NotElliptical
77648 - Elliptical
77651 Sab-Scd NotElliptical
77652 Sd-Irr NotElliptical
77695 Sd-Irr NotElliptical
77696 Sd-Irr NotElliptical
77705 E Elliptical
77707 Sab-Scd NotElliptical
77710 S0-Sa NotElliptical
